2019-09-12 18:40:14.362202	策略初始化完成
2019-09-12 18:40:14.362224	开始回放历史数据
Keep Low=> total_count=4, avg_price_diff=93, total_volume_a=1206670.0, total_volume_b=463895.0
Keep Low=> total_count=5, avg_price_diff=93, total_volume_a=1073137.0, total_volume_b=454843.0
Keep Low=> total_count=7, avg_price_diff=85, total_volume_a=901394.0, total_volume_b=702437.0
Keep Low=> total_count=830, avg_price_diff=62, total_volume_a=90206877.0, total_volume_b=56844428.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=3910.0, total_volume_b=5718.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=322326.0, total_volume_b=42486.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=319288.0, total_volume_b=40171.0
Keep Low=> total_count=1, avg_price_diff=79, total_volume_a=288080.0, total_volume_b=256019.0
Keep Low=> total_count=1, avg_price_diff=93, total_volume_a=384751.0, total_volume_b=192321.0
Keep Low=> total_count=1, avg_price_diff=80, total_volume_a=191041.0, total_volume_b=166675.0
Keep Low=> total_count=1, avg_price_diff=93, total_volume_a=150620.0, total_volume_b=72439.0
Keep Low=> total_count=3, avg_price_diff=98, total_volume_a=576845.0, total_volume_b=211351.0
Keep Low=> total_count=1, avg_price_diff=93, total_volume_a=109591.0, total_volume_b=104557.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=166665.0, total_volume_b=5819.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=57159.0, total_volume_b=15374.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=118868.0, total_volume_b=78230.0
Keep Low=> total_count=1, avg_price_diff=89, total_volume_a=139541.0, total_volume_b=207501.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=50812.0, total_volume_b=124758.0
Keep Low=> total_count=2, avg_price_diff=95, total_volume_a=325122.0, total_volume_b=67859.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=72280.0, total_volume_b=130025.0
Keep Low=> total_count=4, avg_price_diff=91, total_volume_a=2079288.0, total_volume_b=647672.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=250979.0, total_volume_b=84098.0
